Stage,Train Loss,Val Loss,Val mIoU,Val Acc,mIoU,Pixel Acc
Stage 1,2.7243610612333637,2.6975438300877403,0.03484915129801264,0.7318321772582654,,
Stage 2,3.05175013003284,3.049027870779168,0.009088951629576712,0.08163115366059828,,
Stage 3,3.0515090267952174,3.048779931786942,0.008847124516088264,0.08351231297584205,,
Final Test,,,,,0.009015897800052988,0.0841067232237704
